จังหวัด,6-เม.ย.,7-เม.ย.,8-เม.ย.,9-เม.ย.,10-เม.ย.,11-เม.ย.,12-เม.ย.,13-เม.ย.,14-เม.ย.,15-เม.ย.,16-เม.ย.,17-เม.ย.,18-เม.ย.,19-เม.ย.,20-เม.ย.,21-เม.ย.,22-เม.ย.,23-เม.ย.,24-เม.ย.,25-เม.ย.,26-เม.ย.,27-เม.ย.,28-เม.ย.,29-เม.ย.,30-เม.ย.,1-พ.ค.
กระบี่,0,0,0,0,2,1,1,1,5,5,5,3,5,0,9,2,12,16,4,2,2,4,4,11,5,3
มหาสารคาม,0,0,0,0,1,0,3,0,7,4,0,6,2,3,13,5,2,0,4,2,1,4,4,10,5,3
กําแพงเพชร,0,0,0,0,2,1,2,1,2,1,4,2,5,6,1,4,1,4,4,5,5,4,4,4,5,3
สกลนคร,0,0,0,0,1,2,1,0,6,2,1,9,2,1,4,6,2,3,3,3,9,4,4,3,5,3
กาฬสินธุ์,0,0,0,0,0,1,1,0,1,6,1,4,1,8,5,4,1,7,3,0,10,4,4,1,5,2
พัทลุง,0,0,0,0,0,2,0,0,0,0,4,2,3,10,14,7,2,0,3,8,5,4,3,1,5,2
สืงห์บุรี,0,0,0,0,0,0,0,1,0,4,10,2,0,3,4,9,4,3,2,4,0,4,3,27,4,2
อ่างทอง,0,0,0,0,0,4,4,0,0,1,1,3,3,4,4,10,9,0,2,1,0,4,3,3,4,2
ตราด,0,0,0,1,3,5,1,0,0,1,1,2,3,1,6,2,1,6,2,1,5,3,2,1,4,2
ตรัง,0,0,0,0,0,1,1,2,1,1,6,0,5,1,0,7,5,15,2,3,0,3,2,9,3,2
พังงา,0,0,0,0,0,0,4,0,3,2,1,2,1,4,1,4,5,6,2,27,4,3,2,9,3,2
หนองบัวลําภู,0,0,0,0,0,0,0,0,3,4,3,0,2,0,1,0,3,1,2,2,5,3,2,0,3,2
อํานาจเจริญ,0,0,0,0,2,0,2,0,0,3,3,2,0,4,2,0,5,7,2,0,12,3,2,0,3,1
นครนายก,0,0,0,0,0,3,2,0,0,2,1,0,3,4,3,3,0,2,1,0,3,3,1,7,2,1
ยโสธร,0,0,1,0,2,1,1,1,0,2,2,0,3,2,3,1,3,5,1,8,6,2,1,3,2,1
แม่ฮ่องสอน,0,0,0,0,0,2,3,0,0,6,0,3,0,0,0,4,3,1,1,1,1,2,1,4,1,1
หนองคาย,0,0,0,0,1,2,2,2,0,0,4,0,3,0,1,2,0,1,1,3,0,2,1,4,1,1
สุโขทัย,0,0,0,0,0,2,1,2,3,4,0,0,1,1,3,0,8,10,1,0,2,1,1,3,1,1
เลย,0,0,0,0,2,1,1,0,2,1,0,1,1,3,0,2,0,1,1,6,2,1,1,1,1,0
สมุทรสงคราม,0,0,0,2,1,1,0,0,1,2,0,1,0,2,0,0,1,4,1,1,5,1,1,1,1,0
ระนอง,0,0,0,0,0,0,0,0,0,0,2,1,4,3,1,2,1,4,0,0,4,1,0,0,1,0
บึงกาฬ,0,0,0,0,0,1,1,0,0,1,2,2,1,1,1,3,3,3,0,2,3,1,0,0,1,0
อุทัยธานี,0,0,0,0,0,5,1,0,0,0,1,0,1,1,0,0,1,8,0,0,0,1,0,2,0,0
ปัตตานี,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,1,2,0,0,6,5,0,0,2,0,0
มุกดาหาร,0,0,0,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0
ยะลา,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,2,1,0,2,4,0,0,1,0,0
พิจิตร,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,4,0,2,2,0,0,1,0,0
ชัยนาท,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
สตูล,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,2,1,0,0,0,0,0
